nohup: ignoring input
Serving HTTP on 0.0.0.0 port 52405 (http://0.0.0.0:52405/) ...
172.17.0.1 - - [06/Aug/2025 06:37:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:37:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 06:37:28] "HEAD / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:37:28] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:37:29] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:37:29] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:37:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:37:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:38:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:38:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:38:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:38:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:38:53] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:38:53] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:38:53] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:39:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:39:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:39:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:39:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:39:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:40:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:40:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:40:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:40:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:40:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:41:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:41:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:41:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:41:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:41:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:42:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:42:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:42:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:42:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:42:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:43:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:43:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:43:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:43:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:43:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:44:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:44:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:44:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:44:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:45:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:45:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:45:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:45:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:45:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:46:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:46:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:46:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:46:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:46:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:47:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:47:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:47:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:47:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:47:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:48:09] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:48:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:48:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:48:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:49:04] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:49:04] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:49:04] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [06/Aug/2025 06:49:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:49:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:49:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:49:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [06/Aug/2025 06:49:58] "GET / HTTP/1.1" 200 -
